ZULASSUNG;AUDI;BMW;MERCEDES
2000.Januar;1215;1079;1248
2000.Februar;1094;858;719
2000.Maerz;1410;1229;958
2000.April;1738;1352;802
2000.Mai;1589;1364;1104
2000.Juni;1306;1140;858
2000.Juli;1166;892;812
2000.August;941;872;880
2000.September;940;943;951
2000.Oktober;1169;918;894
2000.November;1177;702;767
2000.Dezember;563;326;345
2001.Januar;1331;1203;1267
2001.Februar;907;802;883
2001.Maerz;1571;1293;1287
2001.April;1924;1290;1257
2001.Mai;1688;1123;1252
2001.Juni;1413;995;1020
2001.Juli;1588;865;1064
2001.August;1231;646;1078
2001.September;1199;857;1047
2001.Oktober;1551;1090;1021
2001.November;1106;782;677
2001.Dezember;559;327;249
2002.Januar;1575;1116;1183
2002.Februar;1219;797;873
2002.Maerz;1627;1263;1306
2002.April;1651;1283;1291
2002.Mai;1498;1128;1149
2002.Juni;1473;925;1150
2002.Juli;1708;1028;1190
2002.August;1093;607;905
2002.September;1170;731;981
2002.Oktober;1213;919;931
2002.November;983;647;630
2002.Dezember;639;332;268
2003.Januar;1323;876;1245
2003.Februar;1100;613;758
2003.Maerz;1675;1078;1110
2003.April;1848;1111;1158
2003.Mai;1610;1037;982
2003.Juni;1195;850;918
2003.Juli;1538;1011;1033
2003.August;1212;808;709
2003.September;1475;861;896
2003.Oktober;1457;1014;831
2003.November;1065;700;530
2003.Dezember;797;466;299
2004.Januar;1296;918;1008
2004.Februar;779;657;604
2004.Maerz;1222;1185;839
2004.April;1697;1288;997
2004.Mai;1454;992;1140
2004.Juni;1377;1044;1011
2004.Juli;1222;979;937
2004.August;1115;673;658
2004.September;1066;1017;908
2004.Oktober;1191;1146;691
2004.November;1539;924;694
2004.Dezember;1251;538;374
2005.Januar;1489;975;1003
2005.Februar;1168;740;651
2005.Maerz;1893;1344;1044
2005.April;1987;1489;1077
2005.Mai;1661;1300;822
2005.Juni;2076;1282;924
2005.Juli;1441;889;677
2005.August;1182;665;680
2005.September;1182;1102;862
2005.Oktober;1358;1149;733
2005.November;1175;937;640
2005.Dezember;703;496;318
2006.Januar;1185;1142;840
2006.Februar;1139;759;611
2006.Maerz;1736;1253;1000
2006.April;1812;1247;829
2006.Mai;1771;1260;816
2006.Juni;1622;927;667
2006.Juli;1488;925;673
2006.August;1228;634;627
2006.September;1207;966;778
2006.Oktober;1288;984;742
2006.November;1187;1012;561
2006.Dezember;1040;582;291
2007.Januar;1270;1073;840
2007.Februar;1213;719;551
2007.Maerz;1543;1197;801
2007.April;1469;1331;1015
2007.Mai;1543;1289;1111
2007.Juni;1803;1189;1130
2007.Juli;997;1072;928
2007.August;1068;769;1119
2007.September;1151;1026;944
2007.Oktober;1131;1045;759
2007.November;1142;818;586
2007.Dezember;912;544;297
2008.Januar;1020;988;881
2008.Februar;1094;939;848
2008.Maerz;1489;1161;923
2008.April;1350;1289;1351
2008.Mai;1220;1174;1095
2008.Juni;1953;1544;1187
2008.Juli;1239;922;610
2008.August;1194;641;533
2008.September;1539;885;490
2008.Oktober;1488;940;719
2008.November;1237;719;403
2008.Dezember;1060;564;533
2009.Januar;1279;797;633
2009.Februar;1226;877;656
2009.Maerz;1648;1110;910
2009.April;2122;1188;865
2009.Mai;1574;1215;858
2009.Juni;1580;1208;1043
2009.Juli;1859;1336;1311
2009.August;1157;781;715
2009.September;1214;1065;783
2009.Oktober;1404;1064;918
2009.November;1491;870;568
2009.Dezember;1255;635;459
2010.Januar;1360;862;693
2010.Februar;1128;801;790
2010.Maerz;1706;1574;966
2010.April;1711;1417;1052
2010.Mai;1634;1248;1006
2010.Juni;1691;1296;1067
2010.Juli;1629;1397;1106
2010.August;1217;785;637
2010.September;1480;971;926
2010.Oktober;1386;1305;866
2010.November;1498;1226;764
2010.Dezember;1179;791;470
2011.Januar;1255;1190;855
2011.Februar;1270;894;790
2011.Maerz;1759;1484;986
2011.April;1581;1614;929
2011.Mai;1802;1650;939
2011.Juni;2121;1458;824
2011.Juli;1660;1272;1035
2011.August;1241;988;761
2011.September;1683;1329;829
2011.Oktober;1741;1607;684
2011.November;2125;1273;727
2011.Dezember;1444;877;600
2012.Januar;1311;1096;824
2012.Februar;1291;1208;619
2012.Maerz;2248;1665;938
2012.April;2152;1781;867
2012.Mai;1804;1735;820
2012.Juni;2101;1309;767
2012.Juli;2110;1154;800
2012.August;1602;1099;853
2012.September;1760;1394;851
2012.Oktober;1803;1370;718
2012.November;1503;1400;862
2012.Dezember;990;640;405
2013.Januar;1709;1446;979
2013.Februar;1529;848;711
2013.Maerz;1741;1405;1009
2013.April;2109;1756;1186
2013.Mai;1704;1342;854
2013.Juni;1531;1196;856
2013.Juli;1804;1417;1149
2013.August;1290;1109;797
2013.September;1578;1167;807
2013.Oktober;1750;1288;600
2013.November;1536;1263;570
2013.Dezember;1159;1339;448
2014.Januar;1401;966;978
2014.Februar;2098;1052;761
2014.Maerz;1519;1506;1024
2014.April;1921;1756;957
2014.Mai;1628;1580;953
2014.Juni;1594;1552;1104
2014.Juli;1591;1490;932
2014.August;1233;1157;802
2014.September;1384;1220;805
2014.Oktober;1721;1475;907
2014.November;1307;1102;576
2014.Dezember;858;901;653
2015.Januar;1316;1227;1084
2015.Februar;1359;1059;951
2015.Maerz;1279;1418;1001
2015.April;1660;1511;1007
2015.Mai;1335;1332;1031
2015.Juni;2047;1405;1179
2015.Juli;1647;1427;1218
2015.August;1316;1217;737
2015.September;1381;1356;951
2015.Oktober;1339;1521;1034
2015.November;1256;1564;974
2015.Dezember;971;1545;678
2016.Januar;1465;1341;959
2016.Februar;1412;1245;899
2016.Maerz;1668;1850;1059
2016.April;2010;1991;1225
2016.Mai;1759;1558;851
2016.Juni;1834;2018;1250
2016.Juli;1482;1497;1273
2016.August;1334;1482;1093
2016.September;1595;1689;1250
2016.Oktober;1496;1650;1007
2016.November;1378;1421;1474
2016.Dezember;2057;1476;1460
2017.Januar;1188;1184;849
2017.Februar;1186;1212;1129
2017.Maerz;2005;1947;1552
2017.April;1507;1816;1075
2017.Mai;1513;1774;1437
2017.Juni;1613;1762;1565
2017.Juli;1569;1589;1379
2017.August;1162;1439;1307
2017.September;1187;1327;1233
2017.Oktober;1310;1354;1420
2017.November;1582;1559;1293
2017.Dezember;1145;1927;1508
2018.Januar;1271;1310;1037
2018.Februar;1519;1094;871
2018.Maerz;1570;1627;1181
2018.April;1273;1617;1191
2018.Mai;1434;1657;1380
2018.Juni;1640;1977;1385
2018.Juli;1288;1901;1067
2018.August;1279;1516;1353
2018.September;245;1238;934
2018.Oktober;388;1574;1199
2018.November;724;1543;1003
2018.Dezember;577;1500;1778
2019.Januar;867;1422;891
2019.Februar;883;1132;771
2019.Maerz;1239;1676;1106
2019.April;1108;2021;1262
2019.Mai;1172;1649;1251
2019.Juni;1344;1597;1211
2019.Juli;1346;1735;1213
2019.August;1443;1417;1605
2019.September;511;1300;1113
2019.Oktober;938;1889;1237
2019.November;765;1747;1002
2019.Dezember;894;1556;896
2020.Januar;917;1706;950
